strategy_name,total_return,annual_return,sharpe_ratio,max_drawdown,final_value,n_trades
S16_动量反转切换,3.2789005475104545,0.3897706569498711,1.2406629706209187,0.16611886008528534,4278900.547510454,1040
S15_借力策略,1.7567477225974748,0.25809238554085456,0.8578627501275577,0.3040371195636324,2756747.7225974747,1059
S02_动量60日,1.5777257265128208,0.2391109577846835,0.8204028119428748,0.22587910556091323,2577725.726512821,1000
S09_高波动,1.5531305450227157,0.23642414254213806,0.8022500535965865,0.2110430723647874,2553130.545022716,1040
S01_动量20日,1.4545459795176834,0.22544933272085088,0.8225255797313248,0.3374126244177235,2454545.9795176834,1040
S10_强趋势,1.2184804293932476,0.1977114785746421,0.7622787892054763,0.30538729343268345,2218480.4293932477,1040
S12_动量综合,0.8137804361713205,0.14431998363321785,0.5726563341558224,0.317333737340883,1813780.4361713205,1054
S17_20日突破,0.7863306515632267,0.14037573060721842,0.6789504097944087,0.2705262197470206,1786330.6515632267,1040
S14_高夏普,0.7451694014448114,0.1343724767813852,0.7221359150348015,0.35700869619596154,1745169.4014448114,1059
S06_低价股,0.5525065894595518,0.10472162922320094,0.82521995430215,0.10886710236699682,1552506.5894595517,1060
S05_反转60日,0.44767836618211565,0.08737310039945445,0.48929038219131127,0.24190149644758666,1447678.3661821156,1000
S11_弱趋势,0.3945264701988415,0.07820266017214794,0.4483519617713333,0.18286154430244675,1394526.4701988415,1040
S13_反转综合,0.34424654928473825,0.06927538440940806,0.4101394777813105,0.19116017471018926,1344246.5492847383,1060
S08_低波动,0.3038410689974341,0.06191217840013841,0.4932517821471579,0.17498036878453904,1303841.068997434,1040
S03_动量120日,0.2292280597485036,0.04783799748342199,0.30244991262107684,0.3322316817042067,1229228.0597485036,940
S04_反转20日,0.18259275262432614,0.03870205694563267,0.2759036120165821,0.21529767885854756,1182592.7526243262,1040
S18_20日破位,0.13196565523046766,0.02846297228243233,0.24519428741121607,0.1703409222396212,1131965.6552304677,1040
S07_高价股,-0.15110485293705597,-0.036411777430656045,-0.029390967971083204,0.5305737233244815,848895.147062944,1060
