name,type,total,annual,sharpe,win_rate,max_drawdown,n,final_value
纯LGB,LGB,-0.5799519109999998,-0.3231622766871437,-0.8048395766418831,0.25,-0.468031675743513,28,420048.08900000015
混合:规则+LGB,混合,-0.5799519109999998,-0.3231622766871437,-0.8048395766418831,0.25,-0.468031675743513,28,420048.08900000015
规则:PP<0.50&RSI<40,规则,-0.9221037267000001,-0.6829100289586294,-1.7449811237649029,0.35714285714285715,-0.8972097917421461,28,77896.27329999991
规则:PP<0.40&RSI<45,规则,-0.9375238723999999,-0.7128747763723586,-1.954028451239437,0.25,-0.9180976075730388,28,62476.127600000116
规则:PP<0.55&RSI<40,规则,-0.9390617558,-0.7160770677612311,-2.135130425861039,0.32142857142857145,-0.9200847136933525,28,60938.24420000006
规则:PP<0.45&RSI<40,规则,-0.9397577986,-0.7175410273641458,-1.8907996924937105,0.2857142857142857,-0.9201414146934178,28,60242.20140000005
规则:PP<0.60&RSI<40,规则,-0.9435394422999999,-0.7256624071460778,-2.1834007087155083,0.21428571428571427,-0.9261627734408587,28,56460.557700000165
规则:PP<0.20&RSI<45,规则,-0.9443836361000003,-0.7275158993516877,-1.756767175163406,0.2857142857142857,-0.9291261734609852,28,55616.363899999655
规则:PP<0.40&RSI<40,规则,-0.9445777531000001,-0.7279442821860511,-1.8183565950706462,0.25,-0.9276284361776987,28,55422.24689999992
规则:PP<0.20&RSI<40,规则,-0.9454616267000002,-0.7299053504491635,-1.7673999405905803,0.21428571428571427,-0.929649696339678,28,54538.373299999796
规则:PP<0.35&RSI<45,规则,-0.9468402445999996,-0.7329993379129579,-2.1100496170724328,0.17857142857142858,-0.9304020523582363,28,53159.755400000366
规则:PP<0.35&RSI<40,规则,-0.9480313515000002,-0.7357082295626949,-1.8688276791811231,0.2857142857142857,-0.9323403515384636,28,51968.64849999984
规则:PP<0.35&RSI<30,规则,-0.9483514963999997,-0.7364421327601787,-1.6764091352967216,0.2857142857142857,-0.9332016306199333,28,51648.50360000027
规则:PP<0.45&RSI<45,规则,-0.9484621084999999,-0.7366962823292943,-1.9536270335918555,0.2857142857142857,-0.9327685399963296,28,51537.89150000015
规则:PP<0.25&RSI<40,规则,-0.9491382277,-0.73825634045034,-1.854927979738604,0.17857142857142858,-0.9341883480685123,28,50861.772299999975
规则:PP<0.55&RSI<30,规则,-0.9504566343,-0.7413315396595694,-1.6997376980757617,0.25,-0.9355898018773804,28,49543.3657
规则:PP<0.60&RSI<30,规则,-0.9519734741,-0.7449258033799087,-1.7382618876493654,0.2857142857142857,-0.9378994110617297,28,48026.52589999997
规则:PP<0.30&RSI<40,规则,-0.9523830327000001,-0.7459069540536618,-2.007651775235362,0.25,-0.9376078741198415,28,47616.967299999866
规则:PP<0.45&RSI<30,规则,-0.9533437838999999,-0.7482269266824946,-1.823925351608779,0.2857142857142857,-0.9391725993055687,28,46656.21610000009
规则:PP<0.40&RSI<30,规则,-0.9537195511999998,-0.7491414527910168,-1.673115481829365,0.2857142857142857,-0.9400711297949067,28,46280.44880000017
规则:PP<0.25&RSI<35,规则,-0.9541319938,-0.7501499514651578,-2.0825899420496126,0.2857142857142857,-0.9415813789833654,28,45868.00619999996
规则:PP<0.50&RSI<30,规则,-0.9542178803000001,-0.7503605865850805,-1.8450314472792286,0.2857142857142857,-0.9405371448095524,28,45782.11969999994
规则:PP<0.50&RSI<45,规则,-0.9549435771,-0.7521490891648029,-1.9313609132599652,0.17857142857142858,-0.9409248808689442,28,45056.422899999976
规则:PP<0.40&RSI<35,规则,-0.9556341404000002,-0.7538657757855195,-2.0637057566285226,0.25,-0.9423359542512275,28,44365.85959999989
规则:PP<0.25&RSI<45,规则,-0.9563554078000002,-0.7556745552610076,-1.9860629564334722,0.25,-0.9434893659109156,28,43644.59219999984
规则:PP<0.20&RSI<55,规则,-0.9570120041000002,-0.7573355041873125,-2.08000516063206,0.25,-0.9454777924882655,28,42987.995899999754
规则:PP<0.25&RSI<30,规则,-0.9575027400999998,-0.7585860188691051,-2.075836094650885,0.25,-0.9461100375336947,28,42497.25990000025
规则:PP<0.45&RSI<35,规则,-0.9575478478000005,-0.7587013619385636,-1.9763700119651422,0.25,-0.9448813778991012,28,42452.15219999953
规则:PP<0.50&RSI<35,规则,-0.9579954888000003,-0.7598496793402253,-2.0013613600654905,0.25,-0.9453906203161442,28,42004.51119999969
规则:PP<0.25&RSI<50,规则,-0.9580614710000002,-0.7600195092815478,-2.252597892112194,0.17857142857142858,-0.9466312424173862,28,41938.52899999982
规则:PP<0.20&RSI<50,规则,-0.9582937984000003,-0.7606186636042394,-1.997576786741352,0.35714285714285715,-0.9472735508052078,28,41706.20159999973
规则:PP<0.20&RSI<30,规则,-0.9585388305999998,-0.7612525750174457,-1.970493754484008,0.21428571428571427,-0.9475389826833907,28,41461.16940000019
规则:PP<0.30&RSI<30,规则,-0.9595710905999998,-0.7639459740929048,-1.8094484692729205,0.21428571428571427,-0.9477122271605475,28,40428.90940000018
规则:PP<0.30&RSI<45,规则,-0.9595770454000001,-0.7639616205736928,-2.2000408098723705,0.2857142857142857,-0.9471329470657884,28,40422.95459999994
规则:PP<0.35&RSI<35,规则,-0.9612146285000002,-0.7683135794102649,-2.2329627757488533,0.25,-0.9496764712185548,28,38785.37149999985
规则:PP<0.30&RSI<35,规则,-0.9615426559999999,-0.7691974094026285,-2.209105816918954,0.25,-0.9497795162165477,28,38457.34400000009
规则:PP<0.20&RSI<60,规则,-0.9629378702000002,-0.7730037578091609,-2.1641709359264394,0.21428571428571427,-0.9529936418417114,28,37062.12979999979
规则:PP<0.55&RSI<45,规则,-0.9631160643,-0.7734955361541481,-2.0584426028885376,0.2857142857142857,-0.9510511864746672,28,36883.93569999999
规则:PP<0.60&RSI<35,规则,-0.9634588081000003,-0.7744451244934126,-2.069329161518271,0.21428571428571427,-0.9520531103803647,28,36541.19189999976
规则:PP<0.60&RSI<45,规则,-0.9650396937,-0.7788897614925205,-2.2053755662071906,0.25,-0.953961674144584,28,34960.306300000026
规则:PP<0.55&RSI<35,规则,-0.9653028500000003,-0.7796402801231364,-2.0914629491049306,0.25,-0.9546158185044797,28,34697.14999999975
规则:PP<0.40&RSI<50,规则,-0.9657664652000001,-0.7809701603929455,-2.0380816302251143,0.17857142857142858,-0.9561768394938799,28,34233.53479999989
规则:PP<0.55&RSI<50,规则,-0.9659878201,-0.7816086110500028,-2.1119617924995073,0.03571428571428571,-0.9562321499974635,28,34012.179900000076
