factor,conditions,cond_str,annual_ret,sharpe,sortino,win_rate,max_drawdown,n_trades,avg_ret
vol_ratio,"[('vol_ratio', '>', 0.8)]",vol_ratio > 0.8,3.7430152819178604,6.144484388050749,0.0,0.9444444444444444,0.0,18,0.2970647049141159
volatility,"[('volatility', '>', 0.03)]",volatility > 0.03,3.6246131852422536,5.85359663274869,0.0,0.9444444444444444,0.0,18,0.2876677131144646
bb_position,"[('bb_position', '<', 0.5)]",bb_position < 0.5,2.7843802895123733,5.600659666143512,0.0,0.9411764705882353,0.0,17,0.22098256265971217
vol_ratio_5,"[('vol_ratio_5', '>', 1.0)]",vol_ratio_5 > 1.0,3.1959214298143173,5.1145048700667,0.0,0.9444444444444444,0.0,18,0.2536445579217712
vol_ratio,"[('vol_ratio', '>', 1.0)]",vol_ratio > 1.0,3.0779254201881265,5.004595298367006,0.0,0.9444444444444444,0.0,18,0.24427979525302593
rsi,"[('rsi', '<', 45)]",rsi < 45,2.233788020373856,4.48955674947772,118.94299785731505,0.8823529411764706,-0.039711755365832935,17,0.1772847635217346
ret_20d_rev,"[('ret_20d_rev', '>', 0.05)]",ret_20d_rev > 0.05,2.4242145959736527,4.447275751797619,19.4328375478632,0.8823529411764706,-0.015072889993478222,17,0.19239798380743275
ret_20d_rev,"[('ret_20d_rev', 'between', (0.05, 0.2))]","ret_20d_rev between (0.05, 0.2)",2.2530174747466263,4.236936081077956,15.020419442375317,0.8823529411764706,-0.015072889993478444,17,0.1788109106941767
price_position,"[('price_position', '>', 0.7)]",price_position > 0.7,2.4359841237182165,4.164277056281675,18.521350132966816,0.8333333333333334,-0.05204414625726528,18,0.19333207331096958
price_position,"[('price_position', '<', 0.4)]",price_position < 0.4,2.362178643532432,4.13003872568791,26.64973523460275,0.8333333333333334,-0.07026995754376897,18,0.187474495518447
vol_ratio,"[('vol_ratio', '>', 1.2)]",vol_ratio > 1.2,2.552983357961241,4.095627302780308,0.0,0.9444444444444444,0.0,18,0.2026177268223207
price_position_20,"[('price_position_20', 'between', (0.0, 0.3))]","price_position_20 between (0.0, 0.3)",2.2841187363008584,4.0952586083369855,47.08165203567365,0.8823529411764706,-0.056234506154046904,17,0.1812792647857824
price_position_20,"[('price_position_20', '<', 0.3)]",price_position_20 < 0.3,2.2841187363008584,4.0952586083369855,47.08165203567365,0.8823529411764706,-0.056234506154046904,17,0.1812792647857824
volatility,"[('volatility', '<', 0.03)]",volatility < 0.03,2.2993453822077026,4.0426477799589335,119.47517526471641,0.8888888888888888,-0.004630257392942316,18,0.18248772874664307
ma_bull,"[('ma_bull', '==', 1)]",ma_bull == 1,2.1030665583496027,4.012996604123389,20.1395615717487,0.8888888888888888,-0.06387078944826019,18,0.16691004431346054
bb_position,"[('bb_position', '<', 0.3)]",bb_position < 0.3,2.001343960744818,3.833928687898786,13.334732408816032,0.8235294117647058,-0.006517050297530247,17,0.15883682228133475
bb_position,"[('bb_position', 'between', (0.0, 0.3))]","bb_position between (0.0, 0.3)",1.8894264056461705,3.742661485493232,13.228303394977434,0.8235294117647058,-0.012915081272520501,17,0.14995447663858497
volatility,"[('volatility', '>', 0.04)]",volatility > 0.04,2.626406537297282,3.739116793917164,6.222835035613228,0.8888888888888888,-0.02147292188454275,18,0.20844496327756207
rsi,"[('rsi', '<', 40)]",rsi < 40,1.8738986950360286,3.468756017402323,37.77799520016793,0.8235294117647058,-0.05539697143983968,17,0.14872211865365306
volatility,"[('volatility', '<', 0.025)]",volatility < 0.025,1.8688227384692453,3.3443335403395005,38.198563711686106,0.8235294117647058,-0.049685547020825394,17,0.14831926495787662
ret_20d_rev,"[('ret_20d_rev', '>', 0.1)]",ret_20d_rev > 0.1,1.7011743073209349,3.2915124377110563,10.754940540355,0.8823529411764706,-0.0337742482643415,17,0.13501383391435992
price_position_20,"[('price_position_20', '<', 0.2)]",price_position_20 < 0.2,1.9059651582660184,3.275425663483924,10.907562717852276,0.75,-0.06184224658327264,16,0.1512670760528586
price_position_20,"[('price_position_20', 'between', (0.0, 0.2))]","price_position_20 between (0.0, 0.2)",1.9059651582660184,3.275425663483924,10.907562717852276,0.75,-0.06184224658327264,16,0.1512670760528586
price_position,"[('price_position', 'between', (0.2, 0.4))]","price_position between (0.2, 0.4)",1.6072899425571674,3.255293540653167,28.591267864149785,0.8333333333333334,-0.07026995754376908,18,0.12756269385374344
price_position,"[('price_position', 'between', (0.0, 0.3))]","price_position between (0.0, 0.3)",1.848260696785808,3.182333407010637,11.80610267223714,0.8333333333333334,-0.17604329153042797,18,0.14668735688776255
price_position,"[('price_position', '<', 0.3)]",price_position < 0.3,1.848260696785808,3.182333407010637,11.80610267223714,0.8333333333333334,-0.17604329153042797,18,0.14668735688776255
ret_5d_rev,"[('ret_5d_rev', '>', 0.03)]",ret_5d_rev > 0.03,1.8609793885423764,2.988144122357413,7.094578319314529,0.7647058823529411,-0.09854862777643891,17,0.14769677686844257
rsi,"[('rsi', 'between', (30, 40))]","rsi between (30, 40)",1.4224079395620277,2.841065335428043,9.00072554157978,0.7647058823529411,-0.04275387165104405,17,0.11288951901285935
vol_ratio,"[('vol_ratio', '>', 1.5)]",vol_ratio > 1.5,1.7681950936552187,2.8399024952779817,11.333816888433518,0.8333333333333334,-0.0362558623398711,18,0.14033294394089038
price_position,"[('price_position', '>', 0.8)]",price_position > 0.8,1.6812682620070378,2.8154103286594325,10.398981052563522,0.7647058823529411,-0.10033734556885998,17,0.1334339890481776
ret_5d_rev,"[('ret_5d_rev', 'between', (0.03, 0.1))]","ret_5d_rev between (0.03, 0.1)",1.6403853032056026,2.7965533257761273,6.278975746177323,0.7058823529411765,-0.0985486277764388,17,0.13018930977822243
price_position,"[('price_position', '<', 0.2)]",price_position < 0.2,1.5672376935454284,2.767835537541751,9.347071055474256,0.8235294117647058,-0.07931645680130905,17,0.12438394393217686
price_position,"[('price_position', 'between', (0.0, 0.2))]","price_position between (0.0, 0.2)",1.5672376935454284,2.767835537541751,9.347071055474256,0.8235294117647058,-0.07931645680130905,17,0.12438394393217686
rsi,"[('rsi', '<', 35)]",rsi < 35,1.4658156988779891,2.6391720665039275,22.298631873030438,0.7647058823529411,-0.07545919648519717,17,0.11633457927603089
bb_position,"[('bb_position', '<', 0.2)]",bb_position < 0.2,1.340342843152896,2.494174608659205,7.24345827020917,0.7058823529411765,-0.0787724049010593,17,0.10637641612324572
bb_position,"[('bb_position', 'between', (0.0, 0.2))]","bb_position between (0.0, 0.2)",1.1990702128189876,2.360106368512406,6.493104761257999,0.7058823529411765,-0.07877240490105908,17,0.09516430260468156
ret_5d_rev,"[('ret_5d_rev', '>', 0.05)]",ret_5d_rev > 0.05,1.3877821151292233,2.2836098881521654,4.245744553174456,0.6470588235294118,-0.08515761484572804,17,0.11014143770866852
rsi,"[('rsi', 'between', (25, 35))]","rsi between (25, 35)",1.142049715208093,2.214985880908634,10.483860275336891,0.7647058823529411,-0.06831910242765316,17,0.09063886628635659
volatility,"[('volatility', '<', 0.02)]",volatility < 0.02,1.168063072756025,2.2000825055158337,20.20928508060711,0.75,-0.081004900807232,16,0.0927034184727004
ret_5d_rev,"[('ret_5d_rev', 'between', (0.05, 0.15))]","ret_5d_rev between (0.05, 0.15)",1.2337369632167687,2.0977224865859867,3.8976756218153037,0.6470588235294118,-0.09664044841722508,17,0.09791563200133085
rsi,"[('rsi', '>', 70)]",rsi > 70,1.5247693733978243,2.0957697262524997,5.72276431135249,0.6470588235294118,-0.11561425870520625,17,0.12101344233316065
rsi,"[('rsi', '>', 75)]",rsi > 75,1.3555092054868585,2.041335139063139,7.783440193304791,0.75,-0.1807801692037866,16,0.1075800956735602
price_position_20,"[('price_position_20', '<', 0.1)]",price_position_20 < 0.1,1.1498325735901358,2.0172572709616268,5.2371562070610045,0.6666666666666666,-0.11542580658925794,15,0.0912565534595346
break_10d,"[('break_10d', '==', 1)]",break_10d == 1,1.4669813266934721,2.0123241195614954,9.884318302443434,0.6875,-0.2603826764933419,16,0.11642708942011684
price_position,"[('price_position', '<', 0.1)]",price_position < 0.1,1.1515583057054097,1.90463179811875,4.0898509034168935,0.7333333333333333,-0.14818873594091853,15,0.09139351632582618
