name,total,annual,sharpe,win_rate,max_drawdown,n,final_value
PP>0.25基准,2.4586553857999993,0.6767583405196167,1.5868355524044517,0.7272727272727273,-0.11704522665125872,11,3458655.3857999993
PP>0.25,2.4586553857999993,0.6767583405196167,1.5868355524044517,0.7272727272727273,-0.11704522665125872,11,3458655.3857999993
PP>0.26,1.9231922579000003,0.5633026853426548,1.5858041349298615,0.7272727272727273,-0.11682688103634487,11,2923192.2579
PP>0.27,1.8696774872999997,0.5513176203669456,1.5465091194321865,0.7272727272727273,-0.13278856625570623,11,2869677.4872999997
PP>0.24,2.0033077736,0.5810082942158792,1.4343539795639302,0.6363636363636364,-0.11704522665125872,11,3003307.7736
PP>0.23,2.1002172552000005,0.6020609533969961,1.4324764313525833,0.6363636363636364,-0.11719614653772115,11,3100217.2552000005
PP>0.22,2.1002156097,0.6020605992121084,1.432475508819647,0.6363636363636364,-0.11719614653772115,11,3100215.6097000004
PP>0.25+RSI<55,2.4594920455000002,0.6769272782105886,1.3796288898499705,0.6363636363636364,-0.2082194002052291,11,3459492.0455
PP>0.28,1.5979059206000001,0.4883416919458534,1.35094089332737,0.7272727272727273,-0.21400887454893047,11,2597905.9206000003
PP>0.29,1.5979056122000004,0.4883416183524685,1.3509407147244463,0.7272727272727273,-0.21400887454893047,11,2597905.6122000003
PP>0.25+RSI<60,2.4050772659000006,0.6658898248853145,1.32933766491299,0.5454545454545454,-0.21557348031977064,11,3405077.2659000005
PP>0.25+持仓3只,1.5546510745000002,0.4779692208190005,1.2412307634268038,0.6363636363636364,-0.18175904292800837,11,2554651.0745
PP>0.25+RSI<70,1.7881074587000012,0.5327957622600055,1.2288707725922066,0.5454545454545454,-0.131724396407233,11,2788107.4587000012
PP>0.25+RSI<50,1.7000481592999996,0.5124419399098374,1.1784197222383936,0.6363636363636364,-0.19917970413599118,11,2700048.1592999995
PP>0.30,1.0850036406999997,0.3580545655862126,1.0931562324939117,0.7272727272727273,-0.21490030103331437,11,2085003.6406999999
PP>0.31,1.0850036406999997,0.3580545655862126,1.0931562324939117,0.7272727272727273,-0.21490030103331437,11,2085003.6406999999
PP>0.25+持仓4只,1.0850036406999997,0.3580545655862126,1.0931562324939117,0.7272727272727273,-0.21490030103331437,11,2085003.6406999999
PP>0.25+55天,1.0850036406999997,0.3580545655862126,1.0931562324939117,0.7272727272727273,-0.21490030103331437,11,2085003.6406999999
PP>0.25+止损5%,1.0850036406999992,0.3580545655862124,1.0931562324939117,0.7272727272727273,-0.21490030103331437,11,2085003.6406999994
PP>0.25+止损8%,1.0850036406999992,0.3580545655862124,1.0931562324939117,0.7272727272727273,-0.21490030103331437,11,2085003.6406999994
PP>0.25+止损10%,1.0850036406999992,0.3580545655862124,1.0931562324939117,0.7272727272727273,-0.21490030103331437,11,2085003.6406999994
PP>0.25+止损12%,1.0850036406999992,0.3580545655862124,1.0931562324939117,0.7272727272727273,-0.21490030103331437,11,2085003.6406999994
PP>0.25+止损15%,1.0850036406999992,0.3580545655862124,1.0931562324939117,0.7272727272727273,-0.21490030103331437,11,2085003.6406999994
PP>0.25+50天,1.4094638194,0.3990207511915287,1.020167207260181,0.5833333333333334,-0.29070608937091735,12,2409463.8194
PP>0.25+RSI<65,1.2801938246,0.40963149579040414,0.9868372358822575,0.5454545454545454,-0.22624764233705852,11,2280193.8246
PP>0.25+65天,1.0514957091000001,0.44169141406285584,0.9739491558260226,0.5555555555555556,-0.1969584152671061,9,2051495.7091000003
PP>0.25+持仓6只,0.6589851439000001,0.23472647124912327,0.9627654385131159,0.6363636363636364,-0.22042939897377611,11,1658985.1439
PP>0.25+持仓5只,0.6828784920999997,0.24210272125085242,0.908262145275197,0.5454545454545454,-0.2203258224463721,11,1682878.4920999997
PP>0.25+45天,0.1761578659999996,0.058852422109773705,0.33969026859326557,0.46153846153846156,-0.38491171253737555,13,1176157.8659999997
PP>0.25+60天,-0.0925231939000003,-0.043508735036253854,-0.02018798483274442,0.4,-0.18279604742044664,10,907476.8060999997
