conditions,cond_str,rebalance_days,top_n,val_annual,val_sharpe,val_win,val_dd,test_annual,test_sharpe,test_win,test_dd,robustness,final_score
"[('vol_ratio', '>', 0.8)]",vol_ratio > 0.8,5,10,21.372693936112736,11.705958470752769,1.0,0.0,31.66353294550312,17.26254489116995,1.0,0.0,1.4814947072255733,14.494433450727312
"[('volatility', '>', 0.03)]",volatility > 0.03,5,10,21.535186532474885,11.21143057594554,0.9722222222222222,-0.02195580061574831,29.55322795073348,32.6275184889653,1.0,0.0,1.3723228218231336,14.405487003385732
"[('vol_ratio_5', '>', 1.0)]",vol_ratio_5 > 1.0,5,10,18.35978973814649,10.932212988340297,1.0,0.0,25.85207093125085,15.300313944484165,1.0,0.0,1.4080809911203669,12.741174963799407
"[('vol_ratio', '>', 0.8), ('vol_ratio', '>', 1.0)]",vol_ratio > 0.8 AND vol_ratio > 1.0,5,10,18.521455280343705,10.618777536855845,0.9861111111111112,0.0,27.1670239537838,13.577170688557374,1.0,0.0,1.4667866829349738,12.7397182378156
"[('vol_ratio', '>', 1.0)]",vol_ratio > 1.0,5,10,18.521455280343705,10.618777536855845,0.9861111111111112,0.0,27.1670239537838,13.577170688557374,1.0,0.0,1.4667866829349738,12.7397182378156
"[('vol_ratio', '>', 0.8), ('vol_ratio_5', '>', 1.0)]",vol_ratio > 0.8 AND vol_ratio_5 > 1.0,5,10,17.79095735358089,10.7384697151952,0.9861111111111112,0.0,25.236321887332764,14.49295066392655,1.0,0.0,1.4184915058690364,12.400717892522811
"[('vol_ratio', '>', 0.8), ('volatility', '>', 0.03)]",vol_ratio > 0.8 AND volatility > 0.03,5,10,17.525024427098867,10.169069237069724,0.9583333333333334,-0.0602332093718605,24.585353405657386,23.036008175080212,1.0,0.0,1.402871277465449,12.09380724016344
"[('vol_ratio', '>', 0.8)]",vol_ratio > 0.8,5,20,16.63900286158766,11.020752062224323,0.9861111111111112,0.0,24.318540608559662,17.57061595014371,1.0,0.0,1.4615383392174761,11.918034717304621
"[('bb_position', '<', 0.5)]",bb_position < 0.5,5,10,17.387999892289525,9.25064129010632,0.971830985915493,-0.02732096254296479,21.817923116601175,19.50890710666844,1.0,0.0,1.25476899308448,11.720146131793554
"[('volatility', '>', 0.03)]",volatility > 0.03,5,20,16.349795597325933,10.31513065897659,0.9583333333333334,-0.1460232470256254,22.895706131668284,29.522292018691715,1.0,0.0,1.4003665058303822,11.549510297522021
"[('vol_ratio', '>', 0.8)]",vol_ratio > 0.8,5,30,14.159926909989771,10.223450735492777,0.9861111111111112,0.0,20.527585493918927,16.73703913071021,1.0,0.0,1.449695724025016,10.436937820447723
"[('vol_ratio_5', '>', 1.0)]",vol_ratio_5 > 1.0,5,20,13.934102102571341,10.172225759334761,0.9861111111111112,0.0,19.65964465172474,15.913264459358823,1.0,0.0,1.4109014349835165,10.300899066082803
"[('vol_ratio', '>', 1.0)]",vol_ratio > 1.0,5,20,14.019065675310456,9.65465162351761,0.9861111111111112,0.0,20.51769456038441,13.633833621582488,0.9722222222222222,-0.012320823186392937,1.4635564905383782,10.198639622818186
"[('vol_ratio', '>', 0.8), ('vol_ratio', '>', 1.0)]",vol_ratio > 0.8 AND vol_ratio > 1.0,5,20,14.019065675310456,9.65465162351761,0.9861111111111112,0.0,20.51769456038441,13.633833621582488,0.9722222222222222,-0.012320823186392937,1.4635564905383782,10.198639622818186
"[('volatility', '>', 0.03)]",volatility > 0.03,5,30,13.610347854223443,9.437160437500989,0.9583333333333334,-0.22930617560415667,19.1973945037347,26.460776857970455,1.0,0.0,1.4104999158987352,9.918422041541767
"[('vol_ratio', '>', 0.8), ('vol_ratio_5', '>', 1.0)]",vol_ratio > 0.8 AND vol_ratio_5 > 1.0,5,20,13.369108444172914,9.792529531941229,0.9861111111111112,0.0,19.01772660395745,14.727449992791861,1.0,0.0,1.422512704072391,9.906815622483302
"[('bb_position', '<', 0.5)]",bb_position < 0.5,5,20,13.763779530995752,8.505802717677227,0.9295774647887324,-0.03768652738385436,16.77688279160424,17.27492145174512,1.0,0.0,1.2189153970261615,9.677413660206277
"[('vol_ratio', '>', 0.8), ('volatility', '>', 0.03)]",vol_ratio > 0.8 AND volatility > 0.03,5,20,12.727148655194298,8.647465687440068,0.9444444444444444,-0.21441685827246093,18.278502797369676,19.301794903899097,1.0,0.0,1.4361820775865393,9.245050449346477
"[('vol_ratio_5', '>', 1.0)]",vol_ratio_5 > 1.0,5,30,11.598600726772492,9.274777742028162,0.9722222222222222,-0.003511871317651627,16.43636263843782,15.205181892514938,1.0,0.0,1.417098754033196,8.865153436801334
"[('vol_ratio', '>', 1.0)]",vol_ratio > 1.0,5,30,11.572326135681967,8.660348099948012,0.9722222222222222,-0.011653397578007318,17.079412415958423,12.872121253749206,0.9722222222222222,-0.04432740740101204,1.4758841235294928,8.679444322531285
"[('vol_ratio', '>', 0.8), ('vol_ratio', '>', 1.0)]",vol_ratio > 0.8 AND vol_ratio > 1.0,5,30,11.572326135681967,8.660348099948012,0.9722222222222222,-0.011653397578007318,17.079412415958423,12.872121253749206,0.9722222222222222,-0.04432740740101204,1.4758841235294928,8.679444322531285
"[('bb_position', '<', 0.5)]",bb_position < 0.5,5,30,11.747223670994408,7.849173616669212,0.9295774647887324,-0.0924691094433947,13.955533358022812,15.239338865156448,0.9722222222222222,-0.010099428434613866,1.1879856678375027,8.465961054065469
"[('vol_ratio', '>', 0.8), ('vol_ratio_5', '>', 1.0)]",vol_ratio > 0.8 AND vol_ratio_5 > 1.0,5,30,11.028639307364037,8.810112143683748,0.9722222222222222,-0.00841235782804528,15.76289123108935,13.859677721322234,1.0,0.0,1.4292689054182923,8.4432070778708
"[('vol_ratio', '>', 0.8)]",vol_ratio > 0.8,10,10,10.483281183592544,8.393372531467364,1.0,0.0,16.0366167439577,11.492883369763836,1.0,0.0,1.5297325773400718,8.059652351236481
"[('volatility', '>', 0.03)]",volatility > 0.03,10,10,10.432907050763967,8.279947473871882,0.9722222222222222,0.0,14.804960402557946,24.45376223063738,1.0,0.0,1.4190637691412986,7.984250521371807
"[('vol_ratio', '>', 0.8), ('volatility', '>', 0.03)]",vol_ratio > 0.8 AND volatility > 0.03,5,30,10.091988799404895,7.397414524639152,0.9027777777777778,-0.29690153578348555,14.700272570248707,16.50922244692409,1.0,0.0,1.4566279117467464,7.556544339443542
