name,total,annual,sharpe,win_rate,max_drawdown,n,final_value
PP>0.25等权(基准),2.4586553857999993,0.6767583405196167,1.5868355524044517,0.7272727272727273,-0.11704522665125872,11,3458655.3857999993
纯LGB+PP>0.25,2.4586553857999993,0.6767583405196167,1.5868355524044517,0.7272727272727273,-0.11704522665125872,11,3458655.3857999993
PP>0.25等权,2.4586553857999993,0.6767583405196167,1.5868355524044517,0.7272727272727273,-0.11704522665125872,11,3458655.3857999993
PP>0.25加权,2.2895846505999997,0.6421174374491903,1.2546736329413646,0.5454545454545454,-0.08654867446049752,11,3289584.6506
PP>0.25+加权,2.2895846505999997,0.6421174374491903,1.2546736329413646,0.5454545454545454,-0.08654867446049752,11,3289584.6506
PP>0.25+加权+55天,2.2895846505999997,0.6421174374491903,1.2546736329413646,0.5454545454545454,-0.08654867446049752,11,3289584.6506
PP>0.25+加权+50天,2.5596716326999998,0.6238216963315095,1.2313522556723522,0.5833333333333334,-0.19139671505433675,12,3559671.6327
PP>0.3+加权,1.3523350239000003,0.42803927587619683,1.0236111097314387,0.5454545454545454,-0.19877460384245582,11,2352335.0239000004
PP>0.2+加权,1.2597404697999988,0.4043508874966899,0.9924446320788465,0.45454545454545453,-0.21126466002847333,11,2259740.4697999987
PP>0.35+加权,0.9048183846999995,0.3078776206607181,0.9363830032707927,0.5454545454545454,-0.1854425465304046,11,1904818.3846999996
LGB+反转+PP>0.25,0.5802499371999996,0.20997120862145802,0.6595935553900354,0.5454545454545454,-0.1595699479424152,11,1580249.9371999996
反转权重0.3+PP>0.25,0.5802499371999996,0.20997120862145802,0.6595935553900354,0.5454545454545454,-0.1595699479424152,11,1580249.9371999996
反转权重0.1+PP>0.25,0.42649429510000014,0.15946577489558167,0.5914610898072719,0.45454545454545453,-0.25270852314068293,11,1426494.2951000002
PP>0.25+加权+45天,0.9922635832999995,0.2749819772835327,0.5759973002178876,0.46153846153846156,-0.34294397091014883,13,1992263.5832999996
反转权重0.2+PP>0.25,0.19406845830000097,0.07667567415298393,0.4396429951686918,0.45454545454545453,-0.17825117737940233,11,1194068.458300001
PP>0.25+集中3只,0.1504760911999996,0.060125498368765795,0.3443256604863815,0.36363636363636365,-0.3098648388371864,11,1150476.0911999997
PP>0.3+集中3只,0.1504760911999996,0.060125498368765795,0.3443256604863815,0.36363636363636365,-0.3098648388371864,11,1150476.0911999997
反转权重0.4+PP>0.25,0.059040359199999726,0.024181157205803494,0.24373707585955368,0.2727272727272727,-0.3401342529683353,11,1059040.3591999998
波动调整动量0.1+PP>0.25,-0.06503035970000026,-0.0276193279956517,0.21007598235555552,0.45454545454545453,-0.36855760799412773,11,934969.6402999997
PP>0.25+集中1只,-0.05920955920000026,-0.02510234794511812,0.17737132673244826,0.45454545454545453,-0.4367869180801608,11,940790.4407999997
PP>0.25+集中2只,-0.05920955920000026,-0.02510234794511812,0.17737132673244826,0.45454545454545453,-0.4367869180801608,11,940790.4407999997
PP>0.3+集中1只,-0.05920955920000026,-0.02510234794511812,0.17737132673244826,0.45454545454545453,-0.4367869180801608,11,940790.4407999997
PP>0.3+集中2只,-0.05920955920000026,-0.02510234794511812,0.17737132673244826,0.45454545454545453,-0.4367869180801608,11,940790.4407999997
动量权重0.2+PP>0.25,-0.34019208670000023,-0.1590267659589687,0.16858902031446021,0.5454545454545454,-0.4113447148645376,11,659807.9132999998
PP>0.2+动量0.2,-0.34019208670000023,-0.1590267659589687,0.16858902031446021,0.5454545454545454,-0.4113447148645376,11,659807.9132999998
PP>0.25+动量0.2,-0.34019208670000023,-0.1590267659589687,0.16858902031446021,0.5454545454545454,-0.4113447148645376,11,659807.9132999998
PP>0.3+动量0.2,-0.34019208670000023,-0.1590267659589687,0.16858902031446021,0.5454545454545454,-0.4113447148645376,11,659807.9132999998
PP>0.35+动量0.2,-0.34019208670000023,-0.1590267659589687,0.16858902031446021,0.5454545454545454,-0.4113447148645376,11,659807.9132999998
反转权重0.5+PP>0.25,-0.0936973027000001,-0.04015063456454171,0.11836749989624885,0.2727272727272727,-0.3843970039396484,11,906302.6972999999
波动调整动量0.2+PP>0.25,-0.16877710030000015,-0.07410867251474129,0.11123587627898761,0.45454545454545453,-0.3704860798240971,11,831222.8996999998
波动调整动量0.3+PP>0.25,-0.16877710030000015,-0.07410867251474129,0.11123587627898761,0.45454545454545453,-0.3704860798240971,11,831222.8996999998
动量权重0.1+PP>0.25,-0.40828174169999976,-0.19632715679238977,0.07324787577879066,0.45454545454545453,-0.3859921197709849,11,591718.2583000002
PP>0.2+动量0.1,-0.40828174169999976,-0.19632715679238977,0.07324787577879066,0.45454545454545453,-0.3859921197709849,11,591718.2583000002
PP>0.25+动量0.1,-0.40828174169999976,-0.19632715679238977,0.07324787577879066,0.45454545454545453,-0.3859921197709849,11,591718.2583000002
PP>0.3+动量0.1,-0.40828174169999976,-0.19632715679238977,0.07324787577879066,0.45454545454545453,-0.3859921197709849,11,591718.2583000002
PP>0.35+动量0.1,-0.40828174169999976,-0.19632715679238977,0.07324787577879066,0.45454545454545453,-0.3859921197709849,11,591718.2583000002
LGB+动量+PP>0.25,-0.4317861264,-0.20978170953784503,-0.005681596113299205,0.5454545454545454,-0.4113447148645373,11,568213.8735999999
动量权重0.3+PP>0.25,-0.4317861264,-0.20978170953784503,-0.005681596113299205,0.5454545454545454,-0.4113447148645373,11,568213.8735999999
PP>0.2+动量0.3,-0.4317861264,-0.20978170953784503,-0.005681596113299205,0.5454545454545454,-0.4113447148645373,11,568213.8735999999
PP>0.25+动量0.3,-0.4317861264,-0.20978170953784503,-0.005681596113299205,0.5454545454545454,-0.4113447148645373,11,568213.8735999999
PP>0.3+动量0.3,-0.4317861264,-0.20978170953784503,-0.005681596113299205,0.5454545454545454,-0.4113447148645373,11,568213.8735999999
PP>0.35+动量0.3,-0.4317861264,-0.20978170953784503,-0.005681596113299205,0.5454545454545454,-0.4113447148645373,11,568213.8735999999
动量权重0.4+PP>0.25,-0.5280320805000001,-0.268566048247993,-0.23792811465902397,0.45454545454545453,-0.4271540592211448,11,471967.91949999996
动量权重0.5+PP>0.25,-0.5280320805000001,-0.268566048247993,-0.23792811465902405,0.45454545454545453,-0.4271540592211448,11,471967.9195
PP>0.25+加权+60天,0.04207957789999983,0.019064939195428066,-0.3070119834676109,0.2,-0.28585374253006035,10,1042079.5778999999
LGB+平衡+PP>0.25,-0.6429079957999999,-0.34879161143857595,-0.3143693292260735,0.36363636363636365,-0.49744253684526296,11,357092.00420000014
