conditions,cond_str,rebalance_days,top_n,total_ret,annual_ret,sharpe,sortino,win_rate,max_drawdown,n_trades,avg_ret
"[('vol_ratio', '>', 0.8)]",vol_ratio > 0.8,15,10,2011.2190707641248,6.517723452166711,7.674820573120377,0.0,1.0,0.0,24,0.38795972929563755
"[('vol_ratio', '>', 0.8)]",vol_ratio > 0.8,10,30,4297.898783017663,6.901620157050665,7.567189819488546,0.0,0.9722222222222222,0.0,36,0.2738738157559788
"[('vol_ratio_5', '>', 1.0)]",vol_ratio_5 > 1.0,10,10,37913.13942051723,9.056405268926694,7.5258683532026485,0.0,1.0,0.0,36,0.359381161465345
"[('vol_ratio', '>', 0.8), ('volatility', '>', 0.03)]",vol_ratio > 0.8 AND volatility > 0.03,5,30,207543.18298096213,10.091988799404895,7.397414524639152,17.067547865536824,0.9027777777777778,-0.29690153578348555,72,0.20023787300406537
"[('vol_ratio', '>', 0.8), ('vol_ratio_5', '>', 1.0)]",vol_ratio > 0.8 AND vol_ratio_5 > 1.0,10,10,30431.438682327152,8.862522888322378,7.305048229839882,0.0,0.9722222222222222,0.0,36,0.351687416203269
"[('vol_ratio', '>', 1.0)]",vol_ratio > 1.0,10,20,3392.377380132413,6.707120178975554,7.2317781439742115,0.0,0.9722222222222222,0.0,36,0.2661555626577601
"[('vol_ratio', '>', 0.8), ('vol_ratio', '>', 1.0)]",vol_ratio > 0.8 AND vol_ratio > 1.0,10,20,3392.377380132413,6.707120178975554,7.2317781439742115,0.0,0.9722222222222222,0.0,36,0.2661555626577601
"[('vol_ratio_5', '>', 1.0)]",vol_ratio_5 > 1.0,15,20,197.73934207591583,4.2804452561990765,7.209264901318193,0.0,0.9583333333333334,0.0,24,0.25478840810708786
"[('vol_ratio', '>', 0.8), ('volatility', '>', 0.03)]",vol_ratio > 0.8 AND volatility > 0.03,10,10,25213.930575186845,8.716016153899963,7.19109765927941,46.91882957096678,0.9444444444444444,-0.01594767428774213,36,0.3458736569007922
"[('volatility', '>', 0.03)]",volatility > 0.03,15,10,2347.819559490379,6.718104460153284,7.190105427928746,0.0,0.9583333333333334,0.0,24,0.39988717024721926
"[('vol_ratio', '>', 1.0)]",vol_ratio > 1.0,15,10,783.8329718024302,5.601400204185344,7.148321133374235,0.0,0.9583333333333334,0.0,24,0.3334166788205562
"[('vol_ratio', '>', 0.8), ('vol_ratio', '>', 1.0)]",vol_ratio > 0.8 AND vol_ratio > 1.0,15,10,783.8329718024302,5.601400204185344,7.148321133374235,0.0,0.9583333333333334,0.0,24,0.3334166788205562
"[('volatility', '>', 0.03)]",volatility > 0.03,10,30,2867.8334336102694,6.589753726499836,7.0389120789147706,40.99354660151967,0.9444444444444444,-0.07388237123715435,36,0.2614981637499935
"[('vol_ratio_5', '>', 1.0)]",vol_ratio_5 > 1.0,10,20,4129.843113224227,6.911391989825784,6.9814047963274,0.0,0.9722222222222222,0.0,36,0.2742615868978486
"[('vol_ratio', '>', 0.8)]",vol_ratio > 0.8,15,20,470.5512048227877,5.112143015006427,6.965967807199662,0.0,0.9583333333333334,0.0,24,0.3042942270837159
"[('vol_ratio', '>', 0.8), ('vol_ratio_5', '>', 1.0)]",vol_ratio > 0.8 AND vol_ratio_5 > 1.0,15,20,160.36929786496188,4.108288111331262,6.733631947135666,0.0,0.9583333333333334,0.0,24,0.24454095900781322
"[('vol_ratio', '>', 0.8), ('vol_ratio_5', '>', 1.0)]",vol_ratio > 0.8 AND vol_ratio_5 > 1.0,10,20,3105.6247305658876,6.6684658992674635,6.697314028980969,0.0,0.9722222222222222,0.0,36,0.2646216626693438
"[('vol_ratio', '>', 0.8)]",vol_ratio > 0.8,20,10,285.2464755109993,4.8442231520167836,6.544127830424682,0.0,1.0,0.0,18,0.38446215492196695
"[('volatility', '>', 0.03)]",volatility > 0.03,20,10,244.95807073802885,4.694948404106499,6.531644160367713,0.0,0.9444444444444444,0.0,18,0.372614952706865
"[('vol_ratio_5', '>', 1.0)]",vol_ratio_5 > 1.0,15,30,86.50556688851243,3.561142590821469,6.4987068014417755,0.0,0.9583333333333334,0.0,24,0.21197277326318267
"[('bb_position', '<', 0.5)]",bb_position < 0.5,10,10,15044.52491304785,8.540565411044398,6.4717281118034276,0.0,0.9714285714285714,0.0,35,0.33891132583509515
